Region, Range, search_string, comment, url
Eastern Arc Mountains, Uluguru Mountains,"Uluguru Mountains ecosystems", Late Quaternary vegetation dynamics, https://doi.org/10.1016/j.yqres.2009.02.005
Eastern Arc Mountains, Uluguru Mountains,"Uluguru Mountains ecosystems", Effect of forest loss on biodiversity, https://doi.org/10.1017/S0030605302000212
Eastern Arc Mountains, Uluguru Mountains,"Uluguru Mountains flora and fauna",Endemism of plants in the Uluguru Mountains,https://doi.org/10.1016/j.foreco.2008.01.061
Eastern Arc Mountains, Uluguru Mountains,"Uluguru Mountains flora and fauna",Faunal importance of Eastern Arc Mountains,https://doi.org/10.2982/0012-8317(1998)87[37:FIOTEA]2.0.CO;2
Eastern Arc Mountains, Uluguru Mountains,"Uluguru Mountains climate",Surface runoff generation and soil loss under different proerties,https://doi.org/10.1002/ldr.2499
Eastern Arc Mountains, Udzungwa,"Udzungwa ecosystems",Demographic variation among Udzungwa Red Colobus,https://doi.org/10.1023/B:IJOP.0000023578.08343.4e
Eastern Arc Mountains, Udzungwa,"Udzungwa flora and fauna",Within and between-site distribution of frog species,https://doi.org/10.1080/21564574.2008.9635572
Eastern Arc Mountains, Udzungwa,"Udzungwa flora and fauna",Checklist of mammals,https://doi.org/10.1515/MAMM.2007.015
Eastern Arc Mountains, Udzungwa,"Udzungwa flora and fauna",Protective status ecology and strategies for improving conservation of Cercocebus sanjei,https://doi.org/10.1007/s10764-005-4366-y
Eastern Arc Mountains, Udzungwa,"Udzungwa climate",Climatic Characterization and Phenology of Local Peach Genotypes,https://doi.org/10.1080/15538362.2013.819749
Eastern Arc Mountains, Udzungwa,"Udzungwa climate",Arthropod diversity and abundance,https://doi.org/10.2982/0012-8317(1998)87[233:ADAAAT]2.0.CO;2
Eastern Arc Mountains, South Pare,"South Pare ecosystems",Ecosystem change,https://doi.org/10.1177/0959683616675937
Eastern Arc Mountains, South Pare,"South Pare flora and fauna",Small mammals,https://doi.org/10.2982/0012-8317(1998)87[91:SMOTEA]2.0.CO;2
Eastern Arc Mountains, Nguru Mountains,"Nguru Mountains ecosystems",Biological importance of Eastern arc mountains,https://doi.org/10.1016/j.biocon.2006.08.015
Eastern Arc Mountains, Nguru Mountains,"Nguru Mountains ecosystems",Ecology and Conservation of the Land-snails of Eastern Arc,https://doi.org/10.2982/0012-8317(1998)87[119:EACOTL]2.0.CO;2
Eastern Arc Mountains, Nguru Mountains,"Nguru Mountains ecosystems",Delimiting tropical mountain ecoregions for conservation,https://doi.org/10.1017/S0376892911000191
Eastern Arc Mountains, Nguru Mountains,"Nguru Mountains climate",Elevational and latitudinal changes in tree associations and diversity in Eastern Arc mountains,https://doi.org/10.1017/S0266467400009846
Eastern Arc Mountains, Rubeho Mountains,"Rubeho Mountains ecosystems",How results of new field work in Rubeho Mountains influence conservation priorities,https://doi.org/10.1111/j.1365-2028.2006.00572.x
Eastern Arc Mountains, Rubeho Mountains,"Rubeho Mountains ecosystems",Forest management and conservation (across altitudinal gradient),https://doi.org/10.1007/s43545-021-00292-6
Eastern Arc Mountains, Rubeho Mountains,"Rubeho Mountains ecosystems",Conservation implications of deforestation across elevational gradient,https://doi.org/10.1016/j.biocon.2009.05.028
Eastern Arc Mountains, Rubeho Mountains,"Rubeho Mountains climate",Evolution in tropical-montane frogs of Eastern Arc of Tanzania,https://doi.org/10.1111/j.1365-294X.2010.04788.x
Eastern Arc Mountains, West Usambara,"West Usambara ecosystems",Drivers of soil properties and classification,https://doi.org/10.1016/j.geodrs.2017.10.002
Eastern Arc Mountains, West Usambara,"West Usambara ecosystems",Soil Fertility Survey,https://doi.org/10.1016/S1002-0160(06)60049-0
Eastern Arc Mountains, West Usambara,"West Usambara ecosystems",Tree species composition,https://doi.org/10.1111/j.1365-2028.2008.00931.x
Eastern Arc Mountains, West Usambara,"West Usambara ecosystems",Species richness and endemism,https://doi.org/10.1111/j.1095-8312.1982.tb02037.x
Eastern Arc Mountains, West Usambara,"West Usambara ecosystems",Forest use and environmental change,https://doi.org/10.1002/(SICI)1099-145X(199907/08)10:4%3C291::AID-LDR363%3E3.0.CO;2-W
